time,throttle,brake,steering,speed,ttc
3.142493,0.175725,0,-0.029253,17.78152,0
3.166791,0.17658,0,-0.048616,17.819899,0
3.191111,0.176904,0,-0.081052,17.802122,0
3.215372,0.17746,0,-0.095705,17.803184,0
3.239672,0.177756,0,-0.115661,17.84663,0
3.263961,0.152953,0,-0.135648,17.814262,0
3.288279,0.153111,0,-0.117071,17.873335,0
3.312558,0.137313,0,-0.122334,17.858181,0
3.336867,0.131393,0,-0.078624,17.843517,0
3.361179,0.10414,0,0.060695,17.860719,0
3.385509,0.057722,0,0.191784,17.800214,0
3.409803,0.058262,0,0.357186,17.84316,0
3.434131,0.058903,0,0.49885,17.794158,0
3.459693,0.059945,0,0.621238,17.779662,0
3.485187,0.061161,0,0.727448,17.789618,0
3.510187,0.062442,0,0.78167,17.766103,0
3.534747,0.064562,0,0.835966,17.782194,0
3.559272,0.066414,0,0.846167,17.722861,0
3.583801,0.06874,0,0.856462,17.745485,0
3.608294,0.070686,0,0.855063,17.727588,0
3.632838,0.073256,0,0.873922,17.795092,0
3.657286,0.075733,0,0.907132,17.764243,0
3.681799,0.078399,0,0.945275,17.741247,0
3.706246,0.081056,0,0.973663,17.715487,0
3.73073,0.083769,0,0.97304,17.68608,0
3.755157,0.08707,0,0.980882,17.732913,0
3.779611,0.090345,0,0.968667,17.727452,0
3.804028,0.093749,0,0.950563,17.745165,0
3.828469,0.096867,0,0.917447,17.745746,0
3.852883,0.100134,0,0.87001,17.722463,0
3.877311,0.10372,0,0.82075,17.744084,0
3.901713,0.106911,0,0.744544,17.739595,0
3.926144,0.110239,0,0.677704,17.756881,0
3.950526,0.113306,0,0.603479,17.745943,0
3.974913,0.115864,0,0.554574,17.726159,0
3.999305,0.118898,0,0.546352,17.766662,0
4.023715,0.121906,0,0.565336,17.732286,0
4.048071,0.124906,0,0.604391,17.754742,0
4.072441,0.127446,0,0.617526,17.761131,0
4.096808,0.12985,0,0.600836,17.772645,0
4.121219,0.132532,0,0.580503,17.796447,0
4.145577,0.135016,0,0.528854,17.770859,0
4.16997,0.137192,0,0.457392,17.78051,0
4.194342,0.13917,0,0.375342,17.7959,0
4.218751,0.140947,0,0.329651,17.790328,0
4.243105,0.143091,0,0.298981,17.808609,0
4.267506,0.145103,0,0.27648,17.811061,0
4.291891,0.146999,0,0.263522,17.823391,0
4.316309,0.148827,0,0.255406,17.835147,0
4.340695,0.150257,0,0.259458,17.844863,0
4.3651,0.151657,0,0.264725,17.849217,0
4.389517,0.152698,0,0.277344,17.852043,0
4.413975,0.153427,0,0.272893,17.859705,0
4.438404,0,0,0.263182,17.787046,0
4.462875,0,0,0,17.791962,0
4.487554,0,0,0.6111,17.783649,0
4.51207,0,0,0.5976,17.750678,0
4.536584,0,0,0.5976,17.663774,0
4.561131,0,0,0.5976,17.664798,0
4.585694,0,0,0.5976,17.667603,0
4.610239,0,0,0.5976,17.657363,0
4.634766,0,0,0.5976,17.703213,0
4.659323,0,0,0.58365,14.807994,0
4.684016,0,0,0.58365,11.793563,0
4.708586,0,0,0.58365,8.688427,0
4.733086,0,0,0.58365,8.95643,0
4.75755,0,0,0.58365,8.968021,0
4.782016,0,0,0.58365,8.648607,0
4.807139,0,0,0.58365,8.662127,0
4.83188,0,0,0.5697,8.720595,0
4.856373,0,0,0.5697,8.530527,0
4.88084,0,0,0.5562,8.611587,0
4.905359,0,0,0.5562,8.555517,0
4.929791,0,0,0.5562,8.536953,0
4.954253,0,0,0.5562,8.485502,0
4.978658,0,0,0.5562,8.503127,0
5.003104,0,0,0.5562,8.48095,0
5.027468,0,0,0.5148,8.482605,0
5.051857,0,0,0.48735,8.463327,0
5.076196,0,0,0.47385,8.374042,0
5.10062,0,0,0.47385,8.35494,0
5.12492,0,0,0.47385,8.297974,0
5.149279,0,0,0.47385,8.339336,0
5.173588,0,0,0.47385,8.309823,0
5.197958,0,0,0.47385,8.239711,0
5.222272,0,0,0.47385,8.236933,0
5.246608,0,0,0.41895,8.181403,0
5.2709,0,0,0.405,8.183923,0
5.295239,0,0,0.405,8.122462,0
5.31951,0,0,0.405,8.139818,0
5.344287,0,0,0.405,8.076589,0
5.368639,0,0,0.405,8.088189,0
5.392971,0,0,0.405,8.057377,0
5.417312,0,0,0.43245,8.016167,0
5.441657,0,0,0.63855,8.023504,0
5.46598,0,0,0.9684,7.953447,0
5.49057,0,0,1.36665,7.965123,0
