time,throttle,brake,steering,speed,ttc
0,0,0,0,0,0
0.024925,0.139524,0,-2.449799,16.623668,0
0.05014,0.145754,0,-2.513147,16.664917,0
0.075096,0.152059,0,-2.546358,16.676185,0
0.099992,0.158376,0,-2.547445,16.635405,0
0.124916,0.164869,0,-2.541926,16.673634,0
0.149802,0.171437,0,-2.49213,16.717334,0
0.174715,0.178094,0,-2.423985,16.711847,0
0.199559,0.184932,0,-2.358077,16.701321,0
0.224426,0.191724,0,-2.320024,16.739946,0
0.249226,0.198505,0,-2.276511,16.757233,0
0.274049,0.20513,0,-2.231494,16.745099,0
0.298862,0.212067,0,-2.177153,16.747048,0
0.323663,0.218559,0,-2.121841,16.784493,0
0.348407,0.225491,0,-2.058213,16.804024,0
0.37325,0.232074,0,-1.989071,16.78071,0
0.398242,0.237919,0,-1.912971,16.817831,0
0.423082,0.243541,0,-1.830914,16.844976,0
0.447883,0.249148,0,-1.732806,16.855122,0
0.47268,0.254675,0,-1.641241,16.864162,0
0.49743,0.259782,0,-1.558902,16.887872,0
0.522219,0.264884,0,-1.484956,16.935837,0
0.546962,0.269444,0,-1.421797,16.921975,0
0.571722,0.274371,0,-1.367144,16.937776,0
0.596455,0.279047,0,-1.332056,16.956488,0
0.621214,0.283799,0,-1.264262,16.968991,0
0.645935,0.288301,0,-1.215055,17.009867,0
0.6707,0.292814,0,-1.163944,17.004011,0
0.695402,0.296961,0,-1.126264,17.042536,0
0.720152,0.3012,0,-1.088933,17.061978,0
0.744848,0.305238,0,-1.062059,17.039782,0
0.769596,0.30926,0,-1.037389,17.077744,0
0.794275,0.313277,0,-0.99151,17.093728,0
0.819038,0.317103,0,-0.967339,17.100379,0
0.843708,0.320967,0,-0.939064,17.134181,0
0.868384,0.32477,0,-0.893804,17.144031,0
0.893024,0.328138,0,-0.867676,17.155221,0
0.917682,0.331856,0,-0.819202,17.178051,0
0.942281,0.335227,0,-0.783085,17.21405,0
0.966964,0.338104,0,-0.7582,17.22374,0
0.991559,0.341362,0,-0.70501,17.259208,0
1.016223,0.344292,0,-0.66092,17.273262,0
1.040794,0.346706,0,-0.648708,17.287315,0
1.065464,0.349525,0,-0.621303,17.283414,0
1.090877,0.35211,0,-0.602763,17.329369,0
1.115965,0.354492,0,-0.587807,17.339293,0
1.141386,0.356997,0,-0.556813,17.34789,0
1.166557,0.359406,0,-0.498002,17.400105,0
1.191429,0.361383,0,-0.455016,17.3754,0
1.216305,0.363605,0,-0.40906,17.410186,0
