time,throttle,brake,steering,speed,ttc
0,0,0,0,0,0
0.024376,0.115815,0,-2.542251,16.61226,0
0.049742,0.122256,0,-2.621011,16.621072,0
0.074588,0.129128,0,-2.656549,16.620035,0
0.098991,0.136433,0,-2.684444,16.612053,0
0.123355,0.143893,0,-2.689787,16.586676,0
0.147388,0.150981,0,-2.665068,16.644333,0
0.171881,0.158253,0,-2.598216,16.682919,0
0.195972,0.166213,0,-2.552386,16.656106,0
0.220589,0.17374,0,-2.501875,16.689006,0
0.244842,0.181477,0,-2.458267,16.684566,0
0.269504,0.189148,0,-2.42423,16.696173,0
0.294362,0.196883,0,-2.369667,16.73499,0
0.319063,0.204587,0,-2.30417,16.713624,0
0.343366,0.212423,0,-2.232529,16.743474,0
0.367206,0.220476,0,-2.166576,16.732893,0
0.391606,0.228154,0,-2.098077,16.783647,0
0.415574,0.234776,0,-2.010356,16.776906,0
0.440048,0.24158,0,-1.910136,16.798455,0
0.464039,0.248104,0,-1.817537,16.820249,0
0.488643,0.25448,0,-1.738636,16.814164,0
0.512737,0.260756,0,-1.652733,16.868919,0
0.537412,0.266682,0,-1.571277,16.879764,0
0.561598,0.272702,0,-1.49722,16.901984,0
0.586359,0.278558,0,-1.411902,16.902003,0
0.61064,0.2845,0,-1.347945,16.919577,0
0.634605,0.290049,0,-1.261636,16.943468,0
0.658844,0.295859,0,-1.184502,16.969044,0
0.682665,0.301558,0,-1.093956,16.957272,0
0.707073,0.306783,0,-1.039647,16.986623,0
0.731107,0.311961,0,-0.981225,16.997693,0
0.755632,0.317032,0,-0.941035,17.021874,0
0.779799,0.321735,0,-0.895624,17.034123,0
0.804406,0.326878,0,-0.851738,17.028201,0
0.828582,0.331974,0,-0.798845,17.072071,0
0.853255,0.336708,0,-0.747586,17.079297,0
0.877523,0.34142,0,-0.71419,17.085015,0
0.901352,0.346281,0,-0.677123,17.107495,0
0.925676,0.351005,0,-0.633178,17.104839,0
0.949579,0.355458,0,-0.586916,17.176114,0
0.974015,0.359615,0,-0.555766,17.148234,0
0.997991,0.364012,0,-0.499427,17.228559,0
1.022584,0.367874,0,-0.457897,17.215699,0
1.046735,0.371841,0,-0.43943,17.246899,0
1.071412,0.37543,0,-0.432562,17.23311,0
1.09563,0.379221,0,-0.413001,17.293271,0
1.119515,0.382856,0,-0.390878,17.27198,0
1.143728,0.386175,0,-0.372008,17.299484,0
1.16758,0.389498,0,-0.343997,17.344485,0
1.191907,0.392751,0,-0.280056,17.326642,0
1.215849,0.396019,0,-0.252027,17.351215,0
1.240312,0.398893,0,-0.254744,17.351407,0
1.264425,0.401792,0,-0.266082,17.369337,0
1.288969,0.404871,0,-0.297291,17.382275,0
1.313098,0.407936,0,-0.333033,17.399275,0
1.337744,0.41075,0,-0.344101,17.406584,0
1.36196,0.418181,0,-0.311185,17.450189,0
1.385754,0.424694,0,-0.276984,17.430575,0
1.41005,0.430813,0,-0.240183,17.440431,0
1.433855,0.436573,0,-0.177645,17.511138,0
1.458299,0.44183,0,-0.1525,17.494365,0
1.482283,0.446403,0,-0.153351,17.559029,0
1.506823,0.450679,0,-0.150363,17.56504,0
1.530858,0.454788,0,-0.136334,17.535669,0
1.55547,0.458418,0,-0.158669,17.595919,0
1.579577,0.461785,0,-0.151849,17.620484,0
1.604311,0.464855,0,-0.125665,17.609509,0
1.628543,0.467424,0,-0.101722,17.64357,0
1.652439,0.4697,0,-0.048035,17.678814,0
1.676676,0.471766,0,0.019572,17.682425,0
1.700514,0.47297,0,0.048558,17.692018,0
1.724904,0.47397,0,0.067011,17.733229,0
1.748845,0.474611,0,0.018489,17.735638,0
1.773369,0.474669,0,-0.039825,17.741946,0
1.797466,0.465164,0,-0.103167,17.78038,0
1.82209,0.427574,0,-0.171301,17.77995,0
1.846244,0.347204,0,-0.194218,17.777373,0
1.870941,0.347224,0,-0.191213,17.827714,0
1.895156,0.284689,0,-0.164186,17.850004,0
1.918994,0.192748,0,-0.133656,17.846805,0
1.94334,0.170387,0,-0.104982,17.818025,0
1.967252,0.108504,0,-0.065635,17.805826,0
1.991686,0.108935,0,-0.073735,17.863622,0
2.015638,0.109242,0,-0.067001,17.862022,0
2.040181,0.105973,0,-0.085126,17.80515,0
2.064295,0.106223,0,-0.112082,17.785407,0
