time,throttle,brake,steering,speed,ttc
0.024873,0.129265,0,-2.355425,16.468073,0
0.0495,0.13935,0,-2.40109,16.484139,0
0.074395,0.149534,0,-2.432718,16.502923,0
0.098772,0.159911,0,-2.443647,16.468061,0
0.123721,0.170398,0,-2.428563,16.514321,0
0.148163,0.180839,0,-2.388908,16.550881,0
0.173154,0.191179,0,-2.337194,16.541431,0
0.19764,0.201783,0,-2.272334,16.561137,0
0.221794,0.212295,0,-2.222313,16.545258,0
0.246248,0.22289,0,-2.168536,16.595571,0
0.270339,0.233249,0,-2.132525,16.599355,0
0.295701,0.243027,0,-2.095251,16.638331,0
0.320551,0.252995,0,-2.036393,16.651579,0
0.345125,0.262751,0,-1.983123,16.640757,0
0.369245,0.273159,0,-1.926984,16.662849,0
0.39388,0.282521,0,-1.873294,16.702486,0
0.41805,0.290766,0,-1.8067,16.731497,0
0.442797,0.298824,0,-1.708629,16.731098,0
0.46713,0.306901,0,-1.626681,16.731323,0
0.49103,0.314598,0,-1.558443,16.754393,0
0.515409,0.322095,0,-1.496706,16.804622,0
0.539345,0.32923,0,-1.433506,16.822248,0
0.563864,0.336155,0,-1.354351,16.828071,0
0.587944,0.343209,0,-1.297802,16.825651,0
0.612549,0.350113,0,-1.250488,16.830323,0
0.636645,0.356813,0,-1.18948,16.880092,0
0.661302,0.363496,0,-1.1331,16.89839,0
0.685464,0.369895,0,-1.086553,16.897665,0
0.71022,0.376361,0,-1.051025,16.911201,0
0.734479,0.382773,0,-1.045701,16.941696,0
0.758435,0.389189,0,-1.024531,16.920511,0
0.782704,0.394751,0,-1.00445,16.958045,0
0.806545,0.401187,0,-0.951932,16.98378,0
0.830993,0.407046,0,-0.929775,17.005278,0
0.855004,0.412968,0,-0.867962,17.014223,0
0.879509,0.418633,0,-0.83374,17.034694,0
0.903569,0.424414,0,-0.799176,17.04527,0
0.928207,0.430144,0,-0.775091,17.059165,0
0.952442,0.435813,0,-0.757008,17.078915,0
0.977128,0.44118,0,-0.726186,17.114144,0
1.001411,0.446254,0,-0.699831,17.132471,0
1.025399,0.451295,0,-0.671134,17.151142,0
1.049765,0.45648,0,-0.657753,17.161888,0
1.073681,0.461261,0,-0.629086,17.197635,0
1.098163,0.465753,0,-0.634707,17.215953,0
1.122174,0.470544,0,-0.610724,17.233528,0
1.146718,0.474762,0,-0.581295,17.240877,0
1.170755,0.47929,0,-0.529776,17.271601,0
1.195426,0.483276,0,-0.500962,17.274735,0
1.21964,0.487466,0,-0.449213,17.276166,0
1.244365,0.491281,0,-0.438385,17.302738,0
1.268603,0.494945,0,-0.482146,17.325986,0
1.292549,0.499049,0,-0.506324,17.331005,0
1.316802,0.502919,0,-0.523105,17.343858,0
1.340696,0.511236,0,-0.520926,17.386257,0
1.365115,0.518964,0,-0.502138,17.390258,0
1.389129,0.526068,0,-0.442633,17.411113,0
1.413642,0.532589,0,-0.387184,17.453541,0
1.437726,0.538409,0,-0.352664,17.461693,0
1.462351,0.544112,0,-0.305613,17.480206,0
1.486526,0.549378,0,-0.308612,17.54094,0
1.511204,0.553869,0,-0.318738,17.510397,0
1.535443,0.558627,0,-0.293038,17.496025,0
1.560205,0.563169,0,-0.294054,17.547456,0
1.584522,0.567196,0,-0.28718,17.534386,0
1.609325,0.571319,0,-0.241576,17.559772,0
1.633728,0.575058,0,-0.197161,17.605584,0
1.658617,0.578171,0,-0.144148,17.576073,0
1.683038,0.581488,0,-0.061441,17.61552,0
1.70796,0.584104,0,-0.041485,17.642785,0
1.732406,0.58614,0,-0.040713,17.663489,0
1.757393,0.587631,0,-0.068402,17.692111,0
1.781906,0.588621,0,-0.136478,17.679998,0
1.806905,0.589749,0,-0.18945,17.725022,0
1.831406,0.590426,0,-0.24894,17.740513,0
1.856477,0.59069,0,-0.255527,17.786414,0
1.881071,0.52807,0,-0.250198,17.800879,0
1.90538,0.436779,0,-0.207019,17.823669,0
1.929971,0.404447,0,-0.185134,17.851056,0
1.954166,0.264408,0,-0.139797,17.819758,0
1.978845,0.258625,0,-0.125425,17.848539,0
2.003007,0.220375,0,-0.113226,17.862352,0
2.027797,0.205129,0,-0.129821,17.871571,0
2.052144,0.171467,0,-0.141078,17.872391,0
2.076952,0.089909,0,-0.15747,17.826201,0
2.101284,0.090099,0,-0.177976,17.812556,0
2.126194,0.090425,0,-0.192682,17.846545,0
2.150635,0.090386,0,-0.228619,17.810135,0
2.174745,0.090519,0,-0.21639,17.830255,0
2.199114,0.090065,0,-0.214498,17.81379,0
2.223076,0.080227,0,-0.177811,17.836762,0
2.247605,0.069909,0,-0.1592,17.796272,0
2.271693,0.070782,0,-0.129502,17.784168,0
2.296293,0.071823,0,-0.105432,17.788168,0
2.320467,0.073019,0,-0.126135,17.748359,0
2.345159,0.074286,0,-0.106004,17.761355,0
2.369346,0.075813,0,-0.090763,17.727391,0
2.39313,0.078196,0,-0.087104,17.696362,0
2.417464,0.080904,0,-0.065891,17.726604,0
2.441283,0.083569,0,-0.089334,17.690265,0
2.465741,0.086568,0,-0.084914,17.674926,0
2.489687,0.089777,0,-0.094515,17.683979,0
2.514271,0.092943,0,-0.111921,17.664909,0
2.538348,0.096192,0,-0.067508,17.694661,0
2.563012,0.099292,0,-0.036937,17.727122,0
2.587176,0.102619,0,-0.01558,17.692185,0
2.610979,0.105716,0,0.025644,17.69208,0
2.635181,0.108909,0,0.005842,17.664429,0
2.659068,0.112481,0,-0.032166,17.638292,0
2.683426,0.116247,0,-0.089376,17.695013,0
2.707382,0.119553,0,-0.156368,17.663641,0
2.731862,0.123661,0,-0.156372,17.647309,0
2.755883,0.127667,0,-0.152804,17.678992,0
2.779516,0.131189,0,-0.166645,17.63704,0
2.803646,0.135254,0,-0.132479,17.651355,0
2.827372,0.139155,0,-0.114555,17.69465,0
2.851676,0.14241,0,-0.112678,17.665559,0
2.875532,0.146067,0,-0.065931,17.667445,0
2.899962,0.149454,0,-0.04573,17.712783,0
2.923867,0.152523,0,-0.046733,17.699692,0
2.947459,0.155763,0,-0.002008,17.735933,0
2.971484,0.158499,0,0.037463,17.773166,0
2.995117,0.160614,0,0.062993,17.745853,0
3.019336,0.163106,0,0.129171,17.764987,0
3.043112,0.165109,0,0.140537,17.798552,0
3.067438,0,0,0.128089,17.669344,0
3.091336,0,0,0,17.636945,0
3.115811,0,0,0,17.659012,0
3.139852,0,0,0,17.610803,0
3.163492,0,0,0,17.580601,0
3.187648,0,0,0,17.563076,0
3.211302,0,0,0,17.486718,0
3.235576,0,0,0,17.476781,0
