time,throttle,brake,steering,speed,ttc
0,0,0,0,0,0
0.024454,0.159352,0,-2.437803,16.748711,0
0.048751,0.162794,0,-2.495955,16.751032,0
0.073329,0.16621,0,-2.535457,16.749849,0
0.097483,0.169697,0,-2.540953,16.78905,0
0.122122,0.17316,0,-2.53817,16.780636,0
0.146311,0.176811,0,-2.492717,16.795863,0
0.171065,0.180612,0,-2.425059,16.809066,0
0.195377,0.184518,0,-2.382983,16.812074,0
0.219386,0.188364,0,-2.335062,16.845316,0
0.243611,0.192488,0,-2.310968,16.841323,0
0.267486,0.196385,0,-2.269855,16.874935,0
0.292451,0.200356,0,-2.238002,16.852112,0
0.317001,0.204255,0,-2.174503,16.878798,0
0.341396,0.208254,0,-2.10895,16.877105,0
0.365412,0.212365,0,-2.053012,16.909351,0
0.389119,0.21585,0,-1.983391,16.915376,0
0.41319,0.21897,0,-1.912483,16.922377,0
0.436878,0.221947,0,-1.826679,16.928755,0
0.461125,0.224888,0,-1.750896,16.956723,0
0.48494,0.227407,0,-1.684366,16.992974,0
0.50937,0.229961,0,-1.617469,17.008988,0
0.533378,0.232646,0,-1.546645,17.010879,0
0.557865,0.235144,0,-1.478974,17.025425,0
0.581894,0.23752,0,-1.386814,17.050919,0
0.605645,0.239884,0,-1.317455,17.080866,0
0.629708,0.242139,0,-1.238567,17.077605,0
0.653391,0.244571,0,-1.155921,17.079299,0
0.677614,0.246566,0,-1.091158,17.088319,0
0.701446,0.24881,0,-1.03812,17.155947,0
0.725791,0.250391,0,-1.013982,17.152983,0
0.74979,0.252344,0,-0.976414,17.133771,0
0.773473,0.254171,0,-0.950877,17.15476,0
0.797511,0.255996,0,-0.899303,17.193206,0
0.821136,0.25774,0,-0.86754,17.219174,0
0.84537,0.259328,0,-0.81861,17.216304,0
0.86917,0.261123,0,-0.767389,17.216209,0
0.893507,0.262598,0,-0.722768,17.24627,0
0.917444,0.264267,0,-0.691058,17.283473,0
0.941943,0.265388,0,-0.665878,17.277656,0
0.96597,0.266847,0,-0.619408,17.303067,0
0.989709,0.268047,0,-0.571833,17.335767,0
1.013733,0.269093,0,-0.532955,17.374308,0
1.037441,0.269788,0,-0.528628,17.351112,0
1.06166,0.270675,0,-0.492482,17.386246,0
1.085521,0.271293,0,-0.490154,17.400026,0
1.109852,0.271936,0,-0.483119,17.432051,0
1.133846,0.272134,0,-0.468891,17.43094,0
1.157503,0.272689,0,-0.412599,17.476432,0
1.181525,0.27294,0,-0.379765,17.472339,0
1.205181,0.273209,0,-0.354981,17.458198,0
1.229396,0.273406,0,-0.338299,17.493447,0
1.253202,0.273644,0,-0.354294,17.49711,0
1.277637,0.274016,0,-0.384144,17.522457,0
1.30189,0.268396,0,-0.4205,17.521694,0
1.326334,0.273243,0,-0.394168,17.565596,0
1.350371,0.277486,0,-0.381311,17.56749,0
1.374102,0.281033,0,-0.33386,17.598155,0
1.398115,0.284329,0,-0.269935,17.616646,0
1.421745,0.287079,0,-0.213556,17.619252,0
1.445894,0.289389,0,-0.191881,17.67215,0
1.469649,0.291413,0,-0.183825,17.686883,0
1.49394,0.293083,0,-0.173772,17.680033,0
1.517813,0.294459,0,-0.167593,17.721355,0
1.541368,0.295181,0,-0.165762,17.721388,0
1.565369,0.29611,0,-0.135725,17.731748,0
1.588931,0.296405,0,-0.11097,17.79494,0
1.613101,0.216083,0,-0.063835,17.764838,0
1.636885,0.216457,0,0.009634,17.789617,0
1.661219,0.173978,0,0.058063,17.820242,0
1.685131,0.094287,0,0.091835,17.755136,0
1.708739,0.094714,0,0.096461,17.772439,0
1.732666,0.095027,0,0.049982,17.812282,0
1.75621,0.095228,0,-0.005734,17.750905,0
1.780321,0.096156,0,-0.061378,17.77084,0
1.804012,0.096753,0,-0.123466,17.788258,0
1.828285,0.09725,0,-0.135558,17.757368,0
1.852133,0.098322,0,-0.11966,17.748367,0
1.876521,0.099216,0,-0.098175,17.762367,0
1.900465,0.100023,0,-0.075109,17.736028,0
1.924083,0.10125,0,-0.058175,17.748869,0
1.948139,0.102187,0,-0.039989,17.785008,0
1.971808,0.102858,0,-0.035451,17.746849,0
1.996048,0.104139,0,-0.037471,17.753535,0
2.01989,0.104945,0,-0.05652,17.758982,0
2.044239,0.105573,0,-0.074738,17.728103,0
2.068184,0.106739,0,-0.111314,17.76674,0
2.09183,0.107656,0,-0.144883,17.759877,0
2.11579,0.107638,0,-0.170609,17.742197,0
2.139386,0.108272,0,-0.184861,17.746899,0
2.163534,0.108608,0,-0.169934,17.745038,0
2.187272,0.108874,0,-0.148064,17.73495,0
2.211565,0.109354,0,-0.133577,17.753792,0
2.235492,0.109815,0,-0.109145,17.774503,0
2.259927,0.110042,0,-0.088027,17.762898,0
2.28395,0.110483,0,-0.090959,17.757371,0
2.307644,0.110939,0,-0.083089,17.745433,0
2.331726,0.111329,0,-0.079893,17.713395,0
2.355417,0.112282,0,-0.076362,17.733782,0
2.379675,0.113165,0,-0.062127,17.715874,0
2.403475,0.114165,0,-0.060344,17.702097,0
2.427827,0.115479,0,-0.061306,17.719586,0
2.451779,0.116809,0,-0.057254,17.704885,0
2.475421,0.117887,0,-0.061489,17.703255,0
2.499372,0.119028,0,-0.057254,17.745946,0
2.522955,0.120011,0,-0.018639,17.743587,0
2.547088,0.120847,0,0.008045,17.7574,0
2.570822,0.121467,0,0.036009,17.74513,0
2.595123,0.122353,0,0.066254,17.726137,0
2.618999,0.123371,0,0.047507,17.726949,0
2.64253,0.124254,0,-0.017909,17.731972,0
2.666497,0.12535,0,-0.065116,17.722512,0
2.690113,0.126603,0,-0.103716,17.740948,0
2.714283,0.127676,0,-0.13109,17.730146,0
